customer_id,customer_name,age,gender,registration_date
1,Hemal Butala,23,Male,2/12/2023
2,Aarna Dass,21,Female,10/2/2022
3,Farhan Dar,43,Female,2/27/2023
4,Baljiwan Parikh,27,Male,8/15/2024
5,Nachiket D’Alia,60,Male,10/14/2023
6,Turvi Buch,45,Female,9/9/2023
7,Kashish Bail,26,Female,4/10/2022
8,Owen Sundaram,61,Female,5/9/2022
9,Rachit Sachdev,36,Male,7/18/2023
10,Mugdha Ganesh,28,Male,6/24/2023
11,Anusha Jha,25,Male,10/14/2022
12,Deepa Mall,37,Male,6/6/2024
13,Kamala Randhawa,59,Male,5/28/2024
14,Jonathan Tank,20,Female,3/19/2022
15,Amara Arora,27,Female,9/6/2024
16,Manbir Sethi,56,Male,9/13/2024
17,Pranav Chandra,26,Male,1/30/2024
18,Sara Shan,44,Male,6/23/2023
19,Darika Seth,65,Female,5/7/2024
20,Girish Om,55,Female,8/11/2024
21,Gabriel Ravi,44,Female,12/18/2024
22,Ronith Rajan,43,Female,2/5/2025
23,Divya Baria,40,Female,6/30/2022
24,Warhi Mukhopadhyay,28,Female,10/22/2022
25,Abhimanyu Badami,28,Female,6/10/2023
26,Yashodhara Dani,61,Male,9/17/2023
27,Yash Dixit,28,Female,3/24/2024
28,Mitesh Tata,45,Female,3/28/2022
29,Sai Jha,25,Female,4/9/2024
30,Wakeeta Pillay,31,Male,8/24/2022
31,Baljiwan Zacharia,38,Male,6/16/2023
32,Pranav Sha,59,Female,5/12/2022
33,Suman Shekhar Panika,30,Male,4/4/2022
34,Osha Palla,39,Male,2/17/2024
35,Oeshi Kamdar,59,Male,1/9/2023
36,Triveni Trivedi,20,Male,5/17/2023
37,Advay Sachar,18,Female,1/14/2023
38,Vivaan Peri,44,Female,7/26/2023
39,Benjamin Randhawa,30,Male,4/27/2024
40,Falan Raj,47,Male,1/5/2025
41,Adya Mani,65,Male,9/23/2024
42,Zehaan Rao,32,Female,7/31/2023
43,Jagat Behl,65,Male,8/22/2023
44,Radhika Sarin,45,Female,4/2/2022
45,Gabriel Sood,38,Female,3/21/2024
46,Gaurang Deshpande,49,Female,7/22/2024
47,Yug Modi,27,Male,6/7/2023
48,Mohini Ghosh,48,Female,8/7/2024
49,Warda Joshi,53,Male,7/12/2023
50,Mitesh Bora,18,Male,10/27/2022
51,Oviya Nagi,33,Male,7/29/2022
52,Kamala Banerjee,23,Female,3/4/2023
53,Sudiksha Oza,35,Female,2/19/2024
54,Veer Bhattacharyya,50,Male,3/2/2024
55,Ridhi Korpal,44,Female,1/24/2024
56,Chatura Sangha,50,Male,12/23/2024
57,Kiaan Char,30,Male,2/4/2025
58,Riya Sane,18,Male,12/8/2024
59,Madhav Mand,40,Female,5/3/2024
60,Odika Bal,35,Female,5/16/2024
61,Ridhi Borde,44,Female,1/2/2025
62,Damini Bhardwaj,45,Male,8/11/2023
63,Advika Rajagopalan,21,Male,6/17/2024
64,Manya Rout,31,Female,12/18/2023
65,Gopal Sridhar,51,Female,5/15/2023
66,Pavani Purohit,32,Male,10/20/2022
67,Nirja Andra,18,Male,5/1/2024
68,Pratyush Mahal,22,Male,9/17/2023
69,Jeremiah Desai,34,Male,6/8/2023
70,Oeshi Pandya,63,Male,7/31/2022
71,Rachana Yadav,41,Female,4/21/2023
72,Lucky Dora,34,Female,1/10/2024
73,Zayan Kamdar,36,Female,9/13/2022
74,Ati Oak,59,Male,5/12/2024
75,Wahab Shroff,48,Male,1/17/2025
76,Baghyawati Sami,45,Female,9/9/2022
77,Warinder Chawla,35,Male,7/3/2022
78,Riya Bains,45,Female,3/2/2024
79,Neel Murthy,31,Female,5/6/2023
80,Aradhana Gokhale,45,Male,1/27/2024
81,Frederick Lata,50,Male,7/2/2024
82,Kalpit Sengupta,43,Male,8/31/2023
83,Utkarsh Sem,64,Male,11/22/2023
84,Aarna Ghose,45,Male,2/8/2024
85,Balveer Buch,52,Male,12/3/2022
86,Adweta Sehgal,40,Male,8/19/2024
87,Azaan Shetty,24,Female,8/16/2023
88,Vincent Kar,21,Female,6/21/2023
89,Fitan Vohra,24,Male,10/25/2024
90,Yauvani Kulkarni,37,Female,4/13/2022
91,Vasatika Palan,19,Female,8/24/2024
92,Baljiwan Bains,52,Female,11/30/2024
93,Anusha Yogi,40,Female,2/17/2024
94,Watika Chahal,27,Female,2/16/2023
95,Jagdish Ramakrishnan,22,Male,4/13/2022
96,Mahika Naik,63,Female,11/14/2022
97,Nachiket Kapur,36,Male,5/9/2022
98,Jai Gola,40,Female,9/8/2022
99,Anvi Ratti,60,Female,3/2/2024
100,Upma Sant,32,Male,3/1/2022
101,Isaiah Tailor,32,Female,6/13/2024
102,Lila Pandey,44,Female,3/17/2022
103,Aarini Saini,43,Female,5/13/2022
104,Qadim Rai,44,Male,12/28/2022
105,Rudra Dubey,46,Female,2/14/2022
106,Alka Doshi,27,Female,6/23/2023
107,Mitesh Lanka,40,Female,5/24/2022
108,Chanakya Choudhury,33,Male,4/17/2022
109,Aradhana Prakash,51,Female,3/22/2024
110,Krisha Korpal,42,Male,7/17/2024
111,Bhavika Barman,26,Female,12/29/2022
112,Veda Kala,40,Female,1/2/2023
113,Alexander Shroff,56,Male,11/5/2022
114,Mitesh Agrawal,34,Female,3/8/2024
115,Xiti Nagar,19,Male,7/13/2022
116,Hitesh Vora,20,Male,4/11/2023
117,Frederick Thaman,23,Female,9/20/2023
118,Yashica Raju,31,Male,8/27/2023
119,Kala Dani,21,Female,1/30/2023
120,Vamakshi Shroff,65,Female,7/26/2022
121,Abha Khare,57,Male,7/19/2023
122,Keya Hari,24,Female,3/7/2024
123,Alexander Munshi,59,Male,10/17/2024
124,Samuel Aggarwal,22,Female,11/15/2023
125,Upadhriti Bakshi,64,Male,5/3/2023
126,Manan Krishnan,56,Female,5/23/2024
127,Girish Salvi,36,Female,8/8/2022
128,Kamala Toor,33,Male,6/30/2024
129,Kiaan Mitter,62,Male,2/14/2022
130,Jalsa Karnik,42,Female,7/20/2023
131,Zayan Banerjee,59,Male,2/24/2024
132,Indira Patil,46,Female,3/27/2023
133,Tanish Chander,45,Female,11/17/2022
134,Peter Khatri,64,Female,8/14/2024
135,Advaith Pingle,64,Female,10/5/2022
136,Devika Sengupta,60,Male,1/31/2023
137,Yuvraj Suri,50,Female,12/25/2023
138,Sanya Pai,45,Female,6/24/2022
139,Tarak Chanda,22,Male,11/20/2022
140,Bhavika Subramaniam,52,Female,11/12/2024
141,Andrew Vig,33,Female,11/4/2022
142,Patrick Mangat,58,Male,5/28/2024
143,Mugdha Bhatia,21,Male,11/21/2022
144,Azaan Desai,28,Female,5/20/2022
145,Zarna Samra,46,Male,3/8/2023
146,Atharv Mangal,62,Female,7/20/2024
147,Sathvik Sridhar,26,Male,7/3/2023
148,Girik Patel,38,Female,8/30/2022
149,Zaitra Sen,32,Female,4/1/2022
150,Bishakha Singhal,30,Female,2/25/2024
151,Samuel Sabharwal,59,Female,10/8/2023
152,Triveni Jaggi,56,Male,9/1/2023
153,Victor Tandon,53,Female,11/3/2022
154,Umang Bansal,43,Male,1/30/2024
155,Gabriel Virk,51,Female,1/31/2025
156,Rachit Pingle,51,Female,12/11/2023
157,Ekavir Nanda,51,Male,10/1/2024
158,Bina Dhillon,48,Male,5/16/2023
159,Ayush Viswanathan,34,Male,4/27/2022
160,Gautami Bala,39,Female,12/19/2022
161,Anita Gole,31,Female,10/21/2023
162,Dayamai Bora,23,Female,12/20/2023
163,Abdul Uppal,35,Female,1/2/2025
164,Samaksh Dhar,38,Female,4/30/2022
165,Lucky Prashad,46,Female,7/29/2024
166,Nitara Pillay,40,Male,8/27/2024
167,Ucchal Doctor,63,Female,2/12/2024
168,Gayathri Naidu,42,Male,11/28/2023
169,Damini Bath,50,Male,5/3/2023
170,Ekanta Dhawan,27,Male,5/31/2024
171,Umang Ramachandran,61,Female,11/28/2023
172,Krishna Varughese,63,Male,7/25/2023
173,Ojas Joshi,42,Male,12/29/2023
174,Vasatika Vaidya,36,Female,10/16/2024
175,Jalsa Lad,26,Male,5/15/2022
176,Janaki Bhardwaj,35,Male,6/2/2023
177,Vaishnavi Dass,54,Female,8/15/2022
178,Jagat Morar,44,Male,12/15/2023
179,Lohit Palla,27,Male,6/27/2022
180,Jyoti Chawla,20,Male,6/4/2023
181,Jhalak Bail,53,Male,6/26/2024
182,Samaksh Varty,21,Female,2/6/2024
183,Ayaan Mistry,26,Female,1/9/2023
184,Chaitaly Venkataraman,61,Female,7/2/2022
185,Yash Deol,23,Female,2/2/2024
186,Balhaar De,27,Male,8/8/2022
187,Gautam Dhaliwal,52,Female,3/22/2022
188,Pallavi Sankar,62,Male,12/4/2022
189,Laksh Tak,43,Male,7/12/2024
190,Fitan Banik,53,Female,7/23/2024
191,Rajeshri Savant,49,Female,11/24/2023
192,Ekta Badal,58,Male,9/16/2022
193,Tarak Maharaj,55,Female,5/26/2024
194,Charvi Rajagopal,58,Female,7/31/2024
195,Aditya Murthy,21,Female,11/12/2022
196,Ishanvi Bhatt,26,Female,1/28/2024
197,Rachit Chadha,23,Male,1/10/2025
198,Watika Toor,48,Male,3/10/2022
199,Kashvi Vala,44,Female,3/6/2023
200,Thomas Dhaliwal,59,Male,11/2/2023
201,Chanakya Mangal,29,Male,9/13/2024
202,Rishi Barman,44,Male,6/3/2022
203,Xavier Chakrabarti,47,Male,2/20/2023
204,Jonathan Roy,63,Male,1/1/2025
205,Mohini Jayaraman,18,Male,12/31/2023
206,Daksha Shetty,50,Male,4/1/2022
207,Hitesh Sharaf,28,Female,6/19/2023
208,Sai Pathak,38,Male,8/31/2023
209,Dominic Rai,61,Female,8/18/2023
210,Daniel Sharaf,19,Male,8/15/2024
211,Utkarsh Setty,28,Male,6/1/2024
212,Garima Kannan,51,Male,11/22/2024
213,Nidhi Sampath,35,Female,12/21/2023
214,Omkaar Grover,26,Female,5/9/2024
215,Aarush Bora,48,Male,10/9/2023
216,Madhavi Bir,59,Female,7/19/2024
217,Harinakshi Sarraf,47,Female,6/17/2023
218,Matthew Kari,52,Female,8/28/2022
219,Mohini Swamy,24,Male,5/29/2024
220,Aishani Dhingra,28,Male,3/25/2022
221,Falan Ramakrishnan,38,Male,12/24/2023
222,Vritti Bawa,60,Female,7/28/2023
223,Damyanti Gulati,57,Male,2/9/2024
224,Ishaan Dutt,55,Female,6/23/2024
225,Charita Narang,36,Male,2/15/2023
226,Ati Ratta,32,Female,12/7/2022
227,Manthan Chaudhry,34,Female,9/20/2022
228,Vasatika Pathak,50,Male,12/20/2022
229,Anirudh Muni,24,Female,6/13/2023
230,Yashodhara Sharma,42,Female,3/7/2023
231,Hema Bhatia,29,Female,7/3/2024
232,Divya Bajwa,43,Male,10/21/2023
233,Logan Naidu,65,Female,9/28/2023
234,Rishi Chatterjee,19,Female,2/19/2024
235,Harshil Gara,64,Male,8/26/2022
236,Abeer Bandi,39,Female,1/18/2025
237,Urvi Khosla,63,Female,5/18/2022
238,Keya Dada,25,Male,12/1/2023
239,Chatura Mander,56,Male,10/25/2024
240,Janani Pandey,41,Female,8/29/2022
241,Bhavya Chadha,23,Female,2/15/2024
242,Aahana Bava,29,Male,4/28/2022
243,Chaitaly Srinivasan,37,Male,4/2/2024
244,Indrajit Dugal,33,Male,5/23/2022
245,Vidhi Pal,49,Female,6/2/2022
246,Girish Sharma,20,Female,5/8/2024
247,Wakeeta Krishna,47,Male,4/19/2024
248,Chakradev Patil,24,Female,6/22/2022
